ID,Area_px,Width,Height,Color_RGB,Percentage
1,13248,184,72,"(229, 63, 47)",1.4327242524916943
2,20349,171,119,"(233, 134, 5)",2.200672238372093
3,54534,366,149,"(98, 202, 251)",5.89765884551495
4,9048,156,58,"(94, 203, 87)",0.9785091362126247
5,15678,201,78,"(227, 61, 46)",1.6955201411960132
6,10304,161,64,"(103, 199, 242)",1.1143410852713178
7,22379,161,139,"(233, 132, 4)",2.4202095445736433
8,22518,162,139,"(92, 200, 85)",2.4352419019933556
9,9734,157,62,"(103, 198, 242)",1.0526976052048727
10,17649,159,111,"(221, 218, 94)",1.9086768064784054
11,34188,154,222,"(232, 61, 45)",3.6973110465116283
